2023-05-04:14:37:49,641, Crawling next site: http://www.wtatennis.com/news/3253524/raducanu-to-miss-the-next-few-months-after-ankle-and-hand-surgeries
2023-05-04:14:37:49,815, Finished crawling a site with 7 distinct players mentioned and 122 hyperlinks.
2023-05-04:14:37:49,816, Crawling next site: http://www.wtatennis.com/news/3253772/by-the-numbers-swiatek-sails-past-martic-into-madrid-semifinals
2023-05-04:14:37:49,950, Finished crawling a site with 4 distinct players mentioned and 119 hyperlinks.
2023-05-04:14:37:49,951, Crawling next site: http://www.wtatennis.com/news/3253777/madrid-semifinal-preview-swiatek-kudermetova-look-for-spot-in-final
2023-05-04:14:37:50,163, Finished crawling a site with 8 distinct players mentioned and 121 hyperlinks.
2023-05-04:14:37:50,164, Crawling next site: http://www.wtatennis.com/news/3253784/corpay-travel-tips-madrid
2023-05-04:14:37:50,290, Finished crawling a site with 10 distinct players mentioned and 120 hyperlinks.
2023-05-04:14:37:50,290, Crawling next site: http://www.wtatennis.com/news/3287309/sabalenka-surges-past-sakkari-into-second-madrid-final
2023-05-04:14:37:50,525, Finished crawling a site with 5 distinct players mentioned and 116 hyperlinks.
2023-05-04:14:37:50,526, Crawling next site: http://www.wtatennis.com/photos
2023-05-04:14:37:50,646, Finished crawling a site with 4 distinct players mentioned and 120 hyperlinks.
2023-05-04:14:37:50,647, Crawling next site: http://www.wtatennis.com/photos
2023-05-04:14:37:50,769, Finished crawling a site with 0 distinct players mentioned and 106 hyperlinks.
2023-05-04:14:37:50,769, Crawling next site: http://www.wtatennis.com/photos/3013223/marathon-marvels-2023-all-this-year-s-three-hour-matches
2023-05-04:14:37:50,953, Finished crawling a site with 0 distinct players mentioned and 106 hyperlinks.
2023-05-04:14:37:50,954, Crawling next site: http://www.wtatennis.com/photos/3013224/great-escapes-2023-winning-from-match-point-down
2023-05-04:14:37:51,351, Finished crawling a site with 25 distinct players mentioned and 106 hyperlinks.
